Zeitstempel,請問你是中文母語使用者嗎？,請問你接觸、學習中文幾年了呢，請以數字作答（ex. 1.5、6）？,請從「支、根、條」中選擇你覺得最合適的量詞。 [毛線],請從「支、根、條」中選擇你覺得最合適的量詞。 [筷子],請從「支、根、條」中選擇你覺得最合適的量詞。 [火柴],請從「支、根、條」中選擇你覺得最合適的量詞。 [草],請從「支、根、條」中選擇你覺得最合適的量詞。 [菸],請從「支、根、條」中選擇你覺得最合適的量詞。 [香腸],請從「支、根、條」中選擇你覺得最合適的量詞。 [柱子],請從「支、根、條」中選擇你覺得最合適的量詞。 [繩子],請從「支、根、條」中選擇你覺得最合適的量詞。 [棍子],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線],請從「支、根、條」中選擇你覺得最合適的量詞。 [鏈子],請從「支、根、條」中選擇你覺得最合適的量詞。 [傘],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙刷],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙籤],請從「支、根、條」中選擇你覺得最合適的量詞。 [水管],請從「支、根、條」中選擇你覺得最合適的量詞。 [香蕉],請從「支、根、條」中選擇你覺得最合適的量詞。 [針],請從「支、根、條」中選擇你覺得最合適的量詞。 [箭],請從「支、根、條」中選擇你覺得最合適的量詞。 [頭髮],請從「支、根、條」中選擇你覺得最合適的量詞。 [弦],請從「支、根、條」中選擇你覺得最合適的量詞。 [筆],請從「支、根、條」中選擇你覺得最合適的量詞。 [蠟燭],請從「支、根、條」中選擇你覺得最合適的量詞。 [骨頭],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線桿],請從「支、根、條」中選擇你覺得最合適的量詞。 [魚刺],請從「支、根、條」中選擇你覺得最合適的量詞。 [腰帶],請從「支、根、條」中選擇你覺得最合適的量詞。 [拐杖],請從「支、根、條」中選擇你覺得最合適的量詞。 [鞭子],請從「支、根、條」中選擇你覺得最合適的量詞。 [線],請從「支、根、條」中選擇你覺得最合適的量詞。 [辮子],繩子,鞭子,辮子,鏈子,柱子...38,柱子...39,棍子,筷子,水管,魚刺,傘,菸,蠟燭,拐杖,電線桿,電線,火柴,香腸,頭髮,牙籤,針,筆,箭,線,弦,牙刷,草,骨頭,香蕉,毛線...63,毛線...64,腰帶
2021/01/07 4:47:31 PM GMT+8,是,NA,條,根,根,支,根,根,根,條,根,條,條,支,支,支,條,根,根,支,根,條,支,根,根,條,根,條,支,條,條,條,條,條,條,條,根,根,根,根,條,根,支,支,根,支,條,條,根,支,根,根,根,支,根,條,條,支,支,根,根,條,條,條
2021/01/07 5:01:01 PM GMT+8,是,NA,根,根,根,根,根,根,根,條,根,條,條,支,根,根,根,根,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,根,條,根,支,根,根,根,根,條,根,根,根,根,根,支,支,條,條,根,根,根,根,條,條,條
2021/01/07 8:42:21 PM GMT+8,是,NA,條,支,根,支,根,條,根,條,根,條,條,支,支,支,條,根,根,支,根,條,支,根,根,根,支,條,根,條,條,根,條,條,根,條,支,根,根,支,條,支,支,支,根,根,支,條,支,條,條,支,支,支,支,條,條,支,支,根,根,條,條,條
2021/01/07 9:22:48 PM GMT+8,是,NA,條,根,支,根,根,根,根,條,根,條,條,支,支,支,條,根,根,支,根,條,支,支,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,根,條,根,支,根,支,根,根,條,根,根,條,支,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/07 9:54:24 PM GMT+8,是,NA,條,支,根,根,根,條,根,條,支,條,條,支,支,根,條,根,根,支,根,條,支,根,根,根,根,條,支,根,條,根,條,條,條,條,根,根,根,支,條,根,支,支,根,支,根,條,根,條,根,根,支,支,支,條,條,支,根,根,條,條,條,條
2021/01/08 12:10:28 AM GMT+8,是,NA,條,根,根,根,支,條,根,條,根,條,條,支,支,根,條,條,根,支,根,條,支,根,根,支,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,根,支,支,根,根,根,條,支,條,條,根,根,支,支,條,條,支,根,根,條,條,條,條
2021/01/08 1:51:22 AM GMT+8,是,NA,條,根,根,支,根,根,根,條,根,條,條,支,支,支,根,支,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,支,條,條,根,根,根,支,條,支,支,根,根,支,根,條,根,根,根,支,根,支,支,條,根,支,支,支,條,條,條,條
2021/01/08 10:46:16 AM GMT+8,是,NA,條,支,根,支,根,根,根,條,根,條,條,支,支,根,條,根,根,支,根,條,支,根,根,根,根,條,根,支,條,條,條,條,根,條,支,支,根,支,條,根,支,根,根,根,根,條,根,根,根,根,根,支,支,條,條,支,支,根,根,條,條,條
2021/01/08 11:41:06 AM GMT+8,是,NA,條,支,支,根,根,條,根,條,根,條,條,支,支,根,根,根,根,支,根,條,支,支,根,根,根,條,支,條,條,條,條,條,條,條,根,根,根,支,條,根,支,根,支,根,根,根,支,根,根,根,根,支,支,條,條,支,根,根,根,根,根,條
2021/01/08 12:03:08 PM GMT+8,是,NA,條,支,根,支,根,根,根,條,根,條,條,支,支,根,條,根,根,支,根,條,支,根,根,支,根,條,根,支,條,條,條,條,條,條,支,支,根,支,條,根,支,根,根,支,支,根,根,根,根,根,根,支,支,條,條,支,支,根,根,條,條,條
2021/01/08 8:18:34 PM GMT+8,否,15,條,根,支,支,支,支,根,條,支,根,條,支,支,根,根,根,根,支,根,根,支,支,支,根,根,條,根,條,條,條,條,條,條,條,支,支,根,根,根,根,支,支,根,支,根,根,支,條,根,根,根,支,支,條,根,支,支,根,根,條,條,條
2021/01/08 10:16:10 PM GMT+8,是,NA,條,支,支,根,根,條,根,條,根,條,條,支,支,支,條,根,支,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,根,條,根,根,根,根,條,支,支,根,支,根,根,條,根,條,根,支,根,支,支,條,支,支,支,支,條,根,條,條
2021/01/08 10:17:55 PM GMT+8,是,NA,條,支,根,條,支,根,條,條,根,條,條,根,支,支,條,根,支,支,條,條,支,條,根,支,條,條,支,條,條,條,條,條,條,條,條,條,支,支,條,條,支,支,支,支,支,條,支,條,條,支,支,支,支,條,條,支,根,根,根,條,條,條
2021/01/08 10:20:25 PM GMT+8,是,NA,條,支,支,根,根,根,根,條,支,條,條,支,支,支,條,條,支,根,根,根,支,支,根,根,根,條,支,條,條,條,條,條,條,條,根,根,根,支,條,根,支,根,根,根,根,條,支,根,根,支,根,支,支,條,根,支,根,根,條,條,條,條
2021/01/08 10:35:34 PM GMT+8,是,NA,條,支,支,根,根,條,根,條,根,條,條,支,支,根,根,根,支,支,根,條,支,根,根,根,根,條,支,條,條,條,條,條,條,條,根,根,根,支,條,根,支,根,條,支,根,條,支,根,根,支,根,支,支,條,根,支,根,根,支,條,根,根
2021/01/08 10:54:43 PM GMT+8,是,NA,條,根,根,條,支,條,根,條,根,條,條,支,支,支,條,根,支,支,條,條,支,根,根,根,根,條,根,條,條,條,條,條,根,條,根,根,根,根,條,條,根,支,根,根,根,條,條,條,條,支,支,支,支,條,根,支,條,根,根,條,條,條
2021/01/08 10:57:28 PM GMT+8,是,NA,條,支,支,根,根,條,根,條,根,條,條,支,支,支,根,根,根,根,條,根,支,根,根,根,根,條,根,條,條,根,條,條,條,條,支,支,根,支,條,根,支,支,支,支,支,條,根,條,根,支,根,支,支,條,根,支,根,支,條,條,條,條
2021/01/09 12:10:17 AM GMT+8,否,大概 5 年 （斷斷續續的）,條,支,根,根,根,根,支,條,根,條,條,支,支,根,條,根,支,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,根,條,根,根,根,根,條,根,支,根,根,根,條,條,根,根,條,支,根,支,支,條,條,支,根,支,根,條,條,條
2021/01/09 1:41:58 AM GMT+8,是,NA,條,支,根,支,根,根,根,條,根,根,條,支,支,根,根,根,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,根,條,根,根,根,支,條,根,支,根,支,根,根,條,根,根,條,根,根,支,支,條,條,支,支,根,條,條,條,條
2021/01/09 10:29:31 AM GMT+8,是,NA,條,根,根,根,根,條,根,條,根,支,條,支,支,條,根,根,根,支,根,條,支,根,根,根,支,條,根,條,條,支,條,條,支,條,根,根,根,根,條,根,支,支,根,支,根,條,支,條,根,根,根,支,支,條,條,支,支,根,條,支,支,條
2021/01/09 11:39:44 AM GMT+8,是,NA,根,支,根,根,根,條,支,條,支,根,條,支,支,根,根,條,根,支,根,根,支,根,根,根,根,條,支,根,條,條,條,條,條,條,支,支,支,根,條,根,支,支,根,支,根,條,根,條,根,根,根,支,支,條,根,支,根,根,條,根,根,條
2021/01/09 2:11:43 PM GMT+8,是,NA,根,支,支,根,支,根,根,條,根,條,條,支,支,支,根,根,根,支,根,條,支,支,根,根,根,條,根,根,條,條,條,條,條,條,根,根,根,支,條,根,支,支,支,根,根,條,根,根,根,根,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/09 4:32:28 PM GMT+8,是,NA,條,根,根,支,根,根,根,條,根,條,條,支,支,根,根,根,根,支,根,條,支,根,根,根,根,條,根,根,條,條,條,條,根,條,根,根,根,支,條,根,支,支,根,根,根,條,根,根,根,根,根,支,支,條,條,支,支,根,根,條,條,條
2021/01/09 5:01:16 PM GMT+8,是,NA,根,支,根,根,支,根,根,條,根,條,條,支,支,根,條,根,根,支,根,支,支,支,根,根,支,條,根,條,條,根,條,條,條,條,支,支,根,支,條,根,支,支,支,支,根,條,支,支,根,根,根,支,支,條,根,支,根,根,條,根,根,條
2021/01/10 7:56:07 AM GMT+8,是,NA,條,根,根,支,根,根,根,條,根,條,條,支,支,根,條,條,根,支,條,條,支,根,根,根,支,條,根,條,條,條,條,條,條,條,支,根,根,支,條,根,支,根,根,根,支,條,支,條,根,支,根,支,支,條,條,支,支,根,根,條,支,條
